SS,SR,visc,rpm,temp,pressure
4.242,3.56,0.84,1,24.9,80.0
6.699,3.52,0.525,1.58,24.9,80.0
10.58,4.58,0.433,2.49,25,80.0
16.71,6.34,0.379,3.94,25,80.0
26.39,6.55,0.248,6.22,25,80.0
41.68,6.54,0.157,9.83,25,80.0
65.84,6.69,0.102,15.5,25,80.0
104,7.02,0.0675,24.5,25,80.0
164.3,7.51,0.0457,38.7,25,80.0
259.8,8.29,0.0319,61.2,25,80.0
410.9,9.32,0.0227,96.9,25,80.0
650.9,11.1,0.0171,153,25,80.0
1032,14.9,0.0144,243,25,80.0
4.242,3.62,0.853,1,30,80.0
6.699,3.26,0.487,1.58,30,80.0
10.58,4.17,0.394,2.49,30,80.0
16.71,5.86,0.351,3.94,30,80.0
26.39,7.14,0.271,6.22,30,80.0
41.68,7.03,0.169,9.83,30,80.0
65.84,6.95,0.106,15.5,30,80.0
104,7.27,0.0699,24.5,30,80.0
164.3,7.64,0.0465,38.7,30,80.0
259.7,8.39,0.0323,61.2,30,80.0
410.9,9.4,0.0229,96.9,30,80.0
650.9,10.9,0.0168,153,30,80.0
1033,14.7,0.0142,243,30,80.0
4.241,3.34,0.788,1,40,80.0
6.699,3.23,0.482,1.58,40,80.0
10.58,3.52,0.333,2.49,40,80.0
16.71,4.9,0.293,3.94,40,80.0
26.39,6.96,0.264,6.22,40,80.0
41.68,7.73,0.186,9.83,40,80.0
65.84,7.84,0.119,15.5,40,80.0
104,7.88,0.0757,24.5,40,80.0
164.3,8.16,0.0496,38.7,40,80.0
259.8,8.74,0.0336,61.2,40,80.0
410.9,9.59,0.0233,96.9,40,80.0
650.9,10.9,0.0167,153,40,80.0
1033,14.3,0.0138,243,40,80.0
4.241,3.45,0.813,1,50,80.0
6.699,3.53,0.527,1.58,50,80.0
10.58,3.45,0.326,2.49,50,80.0
16.71,4.24,0.253,3.94,50,80.0
26.39,5.77,0.219,6.22,50,80.0
41.68,8.66,0.208,9.83,50,80.0
65.84,8.87,0.135,15.5,50,80.0
104,8.81,0.0847,24.5,50,80.0
164.3,9.02,0.0549,38.7,50,80.0
259.7,9.44,0.0364,61.2,50,80.0
410.8,10.3,0.025,96.8,50,80.0
650.8,11.5,0.0176,153,50,80.0
1033,14.7,0.0143,243,50,80.0
4.241,4.09,0.965,1,60,80.0
6.699,3.37,0.503,1.58,60,80.0
10.58,3.6,0.34,2.49,60,80.0
16.71,3.87,0.231,3.94,60,80.0
26.39,4.99,0.189,6.22,60,80.0
41.68,7.19,0.173,9.83,60,80.0
65.83,10.2,0.155,15.5,60,80.0
104,10.2,0.0978,24.5,60,80.0
164.3,10.1,0.0616,38.7,60,80.0
259.7,10.5,0.0403,61.2,60,80.0
410.8,11.1,0.0271,96.8,60,80.0
650.7,12.3,0.0188,153,60,80.0
1032,15.4,0.0149,243,60,80.0
4.241,4.1,0.966,1,70,80.0
6.699,3.64,0.544,1.58,70,80.0
10.58,3.87,0.366,2.49,70,80.0
16.71,4.23,0.253,3.94,70,80.0
26.39,4.6,0.174,6.22,70,80.0
41.68,6.28,0.151,9.83,70,80.0
65.82,9.23,0.14,15.5,70,80.0
104,11.8,0.113,24.5,70,80.0
164.3,11.7,0.0714,38.7,70,80.0
259.7,12,0.046,61.2,70,80.0
410.7,12.5,0.0304,96.8,70,80.0
650.5,13.5,0.0207,153,70,80.0
1032,16.4,0.0159,243,70,80.0
4.242,5.15,1.21,1,80,80.0
6.699,5.01,0.748,1.58,80,80.0
10.58,4.88,0.461,2.49,80,80.0
16.71,4.88,0.292,3.94,80,80.0
26.39,5.47,0.207,6.22,80,80.0
41.68,6.22,0.149,9.83,80,80.0
65.83,8.12,0.123,15.5,80,80.0
104,11.9,0.114,24.5,80,80.0
164.3,13.9,0.0846,38.7,80,80.0
259.6,14,0.0539,61.2,80,80.0
410.6,14.4,0.0352,96.8,80,80.0
650.2,15.5,0.0238,153,80,80.0
1031,18.4,0.0178,243,80,80.0
