SS,SR,visc,rpm,temp,pressure
4.241,3.82,0.901,1,25.4,160.0
6.684,3.89,0.582,1.58,25.4,160.0
10.58,4.57,0.432,2.49,25.4,160.0
16.71,6.44,0.385,3.94,25.4,160.0
26.39,7.18,0.272,6.22,25.4,160.0
41.68,7.31,0.175,9.83,25.4,160.0
65.84,6.52,0.0991,15.5,25.4,160.0
104,7.06,0.0679,24.5,25.4,160.0
164.3,7.42,0.0452,38.7,25.4,160.0
259.8,8.2,0.0316,61.2,25.4,160.0
410.9,9.29,0.0226,96.9,25.4,160.0
650.9,11.1,0.0171,153,25.4,160.0
1032,14.9,0.0145,243,25.4,160.0
4.241,3.34,0.789,1,30,160.0
6.69,3.52,0.527,1.58,30,160.0
10.56,4.31,0.408,2.49,30,160.0
16.71,6.12,0.366,3.94,30,160.0
26.39,6.82,0.258,6.22,30,160.0
41.68,6.76,0.162,9.83,30,160.0
65.84,6.76,0.103,15.5,30,160.0
104,7.01,0.0674,24.5,30,160.0
164.3,7.91,0.0481,38.7,30,160.0
259.8,8.25,0.0318,61.2,30,160.0
410.9,9.15,0.0223,96.9,30,160.0
650.9,10.7,0.0165,153,30,160.0
1032,14.7,0.0142,243,30,160.0
4.241,3.61,0.851,1,40,160.0
6.699,3.24,0.484,1.58,40,160.0
10.58,3.73,0.352,2.49,40,160.0
16.7,5.16,0.309,3.94,40,160.0
26.39,7.12,0.27,6.22,40,160.0
41.68,7.73,0.185,9.83,40,160.0
65.84,7.66,0.116,15.5,40,160.0
104,7.71,0.0742,24.5,40,160.0
164.3,8.02,0.0488,38.7,40,160.0
259.8,8.66,0.0334,61.2,40,160.0
410.9,9.59,0.0233,96.9,40,160.0
650.9,10.9,0.0167,153,40,160.0
1033,14.3,0.0139,243,40,160.0
4.24,4,0.944,1,50,160.0
6.693,3.56,0.532,1.58,50,160.0
10.58,3.59,0.34,2.49,50,160.0
16.71,4.47,0.267,3.94,50,160.0
26.39,6.01,0.228,6.22,50,160.0
41.68,8.55,0.205,9.83,50,160.0
65.84,8.75,0.133,15.5,50,160.0
104,8.67,0.0833,24.5,50,160.0
164.3,8.82,0.0537,38.7,50,160.0
259.7,9.3,0.0358,61.2,50,160.0
410.9,10.1,0.0245,96.9,50,160.0
650.9,11.4,0.0175,153,50,160.0
1033,14.7,0.0142,243,50,160.0
4.241,3.82,0.9,1,60,160.0
6.699,3.78,0.564,1.58,60,160.0
10.57,4,0.378,2.49,60,160.0
16.71,4.35,0.26,3.94,60,160.0
26.39,5.31,0.201,6.22,60,160.0
41.68,7.42,0.178,9.83,60,160.0
65.83,9.91,0.151,15.5,60,160.0
104,10.1,0.0976,24.5,60,160.0
164.3,9.96,0.0606,38.7,60,160.0
259.7,10.2,0.0393,61.2,60,160.0
410.7,11,0.0269,96.8,60,160.0
650.7,12.2,0.0188,153,60,160.0
1032,15.4,0.0149,243,60,160.0
4.241,4.78,1.13,1,70,160.0
6.699,4.16,0.622,1.58,70,160.0
10.58,4.23,0.4,2.49,70,160.0
16.71,4.46,0.267,3.94,70,160.0
26.39,4.97,0.188,6.22,70,160.0
41.68,6.75,0.162,9.83,70,160.0
65.82,9.6,0.146,15.5,70,160.0
104.1,11.4,0.11,24.5,70,160.0
164.3,11.7,0.0711,38.7,70,160.0
259.7,11.5,0.0445,61.2,70,160.0
410.7,12.2,0.0298,96.8,70,160.0
650.5,13.4,0.0206,153,70,160.0
1032,16.2,0.0157,243,70,160.0
4.241,5.56,1.31,1,80,160.0
6.699,5.55,0.829,1.58,80,160.0
10.58,5.63,0.532,2.49,80,160.0
16.71,5.35,0.32,3.94,80,160.0
26.39,5.41,0.205,6.22,80,160.0
41.68,6.33,0.152,9.83,80,160.0
65.82,8.54,0.13,15.5,80,160.0
104,12.2,0.117,24.5,80,160.0
164.3,13.4,0.0817,38.7,80,160.0
259.6,13.6,0.0524,61.2,80,160.0
410.6,14,0.034,96.8,80,160.0
650.3,15.1,0.0232,153,80,160.0
1031,17.9,0.0174,243,80,160.0
