SS,SR,visc,rpm,temp,pressure
4.241,3.36,0.792,1,25.3,120.0
6.699,3.49,0.52,1.58,25.2,120.0
10.58,4.39,0.415,2.49,25.2,120.0
16.71,6.21,0.372,3.94,25.2,120.0
26.39,6.39,0.242,6.22,25.2,120.0
41.68,6.45,0.155,9.83,25.2,120.0
65.84,6.58,0.0999,15.5,25.2,120.0
104,6.82,0.0656,24.5,25.2,120.0
164.3,7.3,0.0444,38.7,25.2,120.0
259.8,8,0.0308,61.2,25.2,120.0
410.9,9.01,0.0219,96.9,25.2,120.0
650.9,10.8,0.0166,153,25.2,120.0
1033,14.7,0.0142,243,25.2,120.0
4.241,3.16,0.746,1,30,120.0
6.699,3.24,0.484,1.58,30,120.0
10.58,4.1,0.388,2.49,30,120.0
16.71,5.79,0.347,3.94,30,120.0
26.39,6.88,0.261,6.22,30,120.0
41.68,6.69,0.16,9.83,30,120.0
65.84,6.71,0.102,15.5,30,120.0
104,6.98,0.0671,24.5,30,120.0
164.3,7.39,0.045,38.7,30,120.0
259.8,8.09,0.0312,61.2,30,120.0
410.9,8.98,0.0219,96.9,30,120.0
650.9,10.6,0.0163,153,30,120.0
1032,14.4,0.014,243,30,120.0
4.241,3.21,0.758,1,40,120.0
6.699,3.22,0.481,1.58,40,120.0
10.58,3.75,0.355,2.49,40,120.0
16.71,4.55,0.272,3.94,40,120.0
26.39,6.86,0.26,6.22,40,120.0
41.68,7.57,0.182,9.83,40,120.0
65.84,7.56,0.115,15.5,40,120.0
104,7.64,0.0735,24.5,40,120.0
164.3,7.93,0.0483,38.7,40,120.0
259.7,8.46,0.0326,61.2,40,120.0
410.9,9.25,0.0225,96.9,40,120.0
651,10.7,0.0164,153,40,120.0
1033,14.1,0.0137,243,40,120.0
4.241,3.55,0.837,1,50,120.0
6.699,3.55,0.53,1.58,50,120.0
10.58,3.95,0.373,2.49,50,120.0
16.71,4.24,0.254,3.94,50,120.0
26.39,5.68,0.215,6.22,50,120.0
41.68,8.21,0.197,9.83,50,120.0
65.84,8.55,0.13,15.5,50,120.0
104,8.59,0.0826,24.5,50,120.0
164.3,8.77,0.0534,38.7,50,120.0
259.7,9.21,0.0355,61.2,50,120.0
410.8,9.96,0.0242,96.9,50,120.0
650.9,11,0.0169,153,50,120.0
1033,14.5,0.014,243,50,120.0
4.241,3.77,0.888,1,60,120.0
6.699,4.12,0.616,1.58,60,120.0
10.58,4.4,0.416,2.49,60,120.0
16.71,4.62,0.277,3.94,60,120.0
26.39,5.5,0.209,6.22,60,120.0
41.68,7.18,0.172,9.83,60,120.0
65.83,9.78,0.149,15.5,60,120.0
104,9.91,0.0953,24.5,60,120.0
164.3,9.87,0.0601,38.7,60,120.0
259.7,10.2,0.0392,61.2,60,120.0
410.8,10.8,0.0263,96.9,60,120.0
650.8,12,0.0184,153,60,120.0
1032,15.1,0.0146,243,60,120.0
4.241,3.58,0.845,1,70,120.0
6.699,4.16,0.62,1.58,70,120.0
10.58,4.72,0.446,2.49,70,120.0
16.71,5.01,0.3,3.94,70,120.0
26.39,5.49,0.208,6.22,70,120.0
41.68,6.66,0.16,9.83,70,120.0
65.82,9.33,0.142,15.5,70,120.0
104,11.4,0.11,24.5,70,120.0
164.3,11.4,0.0696,38.7,70,120.0
259.7,11.5,0.0443,61.2,70,120.0
410.7,12,0.0293,96.8,70,120.0
650.6,13.2,0.0203,153,70,120.0
1032,16.1,0.0156,243,70,120.0
4.241,4.16,0.981,1,80,120.0
6.699,4.9,0.732,1.58,80,120.0
10.58,5.17,0.489,2.49,80,120.0
16.71,5.61,0.336,3.94,80,120.0
26.39,5.98,0.227,6.22,80,120.0
41.68,6.84,0.164,9.83,80,120.0
65.83,8.41,0.128,15.5,80,120.0
104,11.7,0.112,24.5,80,120.0
164.3,13.7,0.0832,38.7,80,120.0
259.6,13.5,0.0521,61.2,80,120.0
410.6,13.9,0.0339,96.8,80,120.0
650.4,14.9,0.0229,153,80,120.0
1032,17.4,0.0169,243,80,120.0
